
Round_1_Replicate_1
18742   , -7613.66    , array([ 0.653604   ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18743   , -7613.66    , array([ 0.653604   ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18744   , -6963.22    , array([ 1.6536     ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18745   , -7487.6     , array([ 3.27164    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18746   , -6963.22    , array([ 1.6536     ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18747   , -7181.78    , array([ 2.27164    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18748   , -6876.84    , array([ 1.27164    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18749   , -6916.93    , array([ 1.03557    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18750   , -6877.85    , array([ 1.28613    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18751   , -6875.71    , array([ 1.24252    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18752   , -6879.75    , array([ 1.16347    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18753   , -6875.62    , array([ 1.22945    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18754   , -6875.67    , array([ 1.2237     ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18755   , -6875.63    , array([ 1.23521    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18756   , -6875.62    , array([ 1.22945    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18757   , -32146.9    , array([ 1.22945    ,  1.08121    ,  2.10724    ,  1.51012    ,  0.0696252  ])
18759   , -6875.62    , array([ 1.22945    ,  0.0812065  ,  2.10724    ,  1.51012    ,  0.0696252  ])
18761   , -15372.8    , array([ 1.22945    ,  0.463173   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18762   , -6266.3     , array([ 1.22945    ,  0.272121   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18763   , -2542.52    , array([ 1.22945    ,  0.188649   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18764   , -2282.23    , array([ 1.22945    ,  0.18025    ,  2.10724    ,  1.51012    ,  0.0696252  ])
18765   , -1765.3     , array([ 1.22945    ,  0.142419   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18766   , -1761.25    , array([ 1.22945    ,  0.143107   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18767   , -1750.93    , array([ 1.22945    ,  0.148355   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18768   , -1849.13    , array([ 1.22945    ,  0.160538   ,  2.10724    ,  1.51012    ,  0.0696252  ])
18769   , -1750.19    , array([ 1.22945    ,  0.14722    ,  2.10724    ,  1.51012    ,  0.0696252  ])
18770   , -1750.49    , array([ 1.22945    ,  0.14656    ,  2.10724    ,  1.51012    ,  0.0696252  ])
18771   , -1750.19    , array([ 1.22945    ,  0.14722    ,  2.10724    ,  1.51012    ,  0.0696252  ])
18772   , -1549.55    , array([ 1.22945    ,  0.14722    ,  3.10724    ,  1.51012    ,  0.0696252  ])
18773   , -1525.6     , array([ 1.22945    ,  0.14722    ,  4.72527    ,  1.51012    ,  0.0696252  ])
18774   , -1496.29    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  1.51012    ,  0.0696252  ])
18775   , -1496.29    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  1.51012    ,  0.0696252  ])
18776   , -1503.61    , array([ 1.22945    ,  0.14722    ,  3.67165    ,  1.51012    ,  0.0696252  ])
18777   , -1500.8     , array([ 1.22945    ,  0.14722    ,  4.28968    ,  1.51012    ,  0.0696252  ])
18778   , -1496.3     , array([ 1.22945    ,  0.14722    ,  4.00134    ,  1.51012    ,  0.0696252  ])
18779   , -1496.33    , array([ 1.22945    ,  0.14722    ,  4.03961    ,  1.51012    ,  0.0696252  ])
18780   , -1496.29    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  1.51012    ,  0.0696252  ])
18781   , -1724.69    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  2.51012    ,  0.0696252  ])
18783   , -1496.29    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  1.51012    ,  0.0696252  ])
18784   , -1486.13    , array([ 1.22945    ,  0.14722    ,  4.02047    ,  0.892088   ,  0.0696252  ])
18785   , -1546.84    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  2.14945    ,  4.7077     ])
15162   , -2953.79    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.97711    ,  4.7077     ])
15163   , -2953.92    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.98826    ,  4.7077     ])
15164   , -2953.78    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  4.7077     ])
15165   , -2953.78    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.98152    ,  4.7077     ])
15166   , -2953.78    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  4.7077     ])
15167   , -2720.76    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  5.7077     ])
15168   , -2550.95    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  7.32574    ])
15169   , -2535.45    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  7.58949    ])
15170   , -2514.63    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  8.01626    ])
15171   , -2469.39    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  9.49693    ])
15172   , -2439.16    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  11.8927    ])
15173   , -2438.02    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  12.0589    ])
15174   , -2436.34    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  12.3279    ])
15175   , -2428.02    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  14.4484    ])
15176   , -2423.44    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  17.8795    ])
15177   , -2423.63    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  17.5971    ])
15178   , -2422.03    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  23.4311    ])
15179   , -2422.21    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  21.7078    ])
15181   , -2422.03    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  23.4311    ])
15182   , -2421.9     , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  26.8622    ])
15183   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  28.9828    ])
15184   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.2393    ])
15186   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.7024    ])
15187   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15189   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15190   , -2439.94    , array([ 3.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15191   , -8651.31    , array([ 0.892135   ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15192   , -2421.87    , array([ 2.51017    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15193   , -3003.49    , array([ 1.89214    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15194   , -2347.26    , array([ 2.89214    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15195   , -2350.25    , array([ 2.83212    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15196   , -2346.8     , array([ 2.91724    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15197   , -2346.75    , array([ 2.92884    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15198   , -2346.75    , array([ 2.93303    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15199   , -2346.76    , array([ 2.92465    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15200   , -2346.75    , array([ 2.92884    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15201   , -17707      , array([ 2.92884    ,  1.40105    ,  1.11152    ,  1.9794     ,  29.9887    ])
15203   , -2346.75    , array([ 2.92884    ,  0.401047   ,  1.11152    ,  1.9794     ,  29.9887    ])
15205   , -7336.4     , array([ 2.92884    ,  0.783013   ,  1.11152    ,  1.9794     ,  29.9887    ])
15206   , -4166.06    , array([ 0.900043   ,  0.114902   ,  4.2809     ,  3.19569    ,  0.0171341  ])
18210   , -4948.09    , array([ 0.900043   ,  0.0698953  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18211   , -3963.38    , array([ 0.900043   ,  0.028924   ,  4.2809     ,  3.19569    ,  0.0171341  ])
18212   , -1818.89    , array([ 0.900043   ,  0.0477436  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18213   , -1642.22    , array([ 0.900043   ,  0.0434853  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18214   , -1637.17    , array([ 0.900043   ,  0.0426806  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18215   , -1637.17    , array([ 0.900043   ,  0.0426929  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18216   , -1637.18    , array([ 0.900043   ,  0.0426746  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18217   , -1637.17    , array([ 0.900043   ,  0.0426866  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18218   , -1637.17    , array([ 0.900043   ,  0.0426866  ,  4.2809     ,  3.19569    ,  0.0171341  ])
18219   , -1656.65    , array([ 0.900043   ,  0.0426866  ,  5.2809     ,  3.19569    ,  0.0171341  ])
18220   , -1628.71    , array([ 0.900043   ,  0.0426866  ,  2.66287    ,  3.19569    ,  0.0171341  ])
18221   , -1627.98    , array([ 0.900043   ,  0.0426866  ,  2.99098    ,  3.19569    ,  0.0171341  ])
18222   , -1627.98    , array([ 0.900043   ,  0.0426866  ,  2.99098    ,  3.19569    ,  0.0171341  ])
18223   , -1629.28    , array([ 0.900043   ,  0.0426866  ,  3.48369    ,  3.19569    ,  0.0171341  ])
18224   , -1628.14    , array([ 0.900043   ,  0.0426866  ,  3.17918    ,  3.19569    ,  0.0171341  ])
18225   , -1627.98    , array([ 0.900043   ,  0.0426866  ,  3.01135    ,  3.19569    ,  0.0171341  ])
