263644  , -192002     , array([ 0.471826   ,  0.0154651  ,  0.00167457 ,  0.000162903,  0.0893467  ])
263645  , -191996     , array([ 0.472298   ,  0.0154651  ,  0.00167457 ,  0.000162903,  0.0893467  ])
263646  , -191798     , array([ 0.471826   ,  0.0154805  ,  0.00167457 ,  0.000162903,  0.0893467  ])
263647  , -192002     , array([ 0.471826   ,  0.0154651  ,  0.00167625 ,  0.000162903,  0.0893467  ])
263648  , -192002     , array([ 0.471826   ,  0.0154651  ,  0.00167457 ,  0.000163066,  0.0893467  ])
263649  , -192210     , array([ 0.471826   ,  0.0154651  ,  0.00167457 ,  0.000162903,  0.0894361  ])
263650  , -192002     , array([ 0.471826   ,  0.0154651  ,  0.00167457 ,  0.000162903,  0.0893467  ])
263651  , -33903.4    , array([ 0.482994   ,  0.0314095  ,  0.00167487 ,  0.000162953,  0.0435156  ])
263652  , -33903.4    , array([ 0.482994   ,  0.0314095  ,  0.00167487 ,  0.000162953,  0.0435156  ])
263653  , -33900.2    , array([ 0.483477   ,  0.0314095  ,  0.00167487 ,  0.000162953,  0.0435156  ])
263654  , -33854.2    , array([ 0.482994   ,  0.0314409  ,  0.00167487 ,  0.000162953,  0.0435156  ])
263655  , -33903.4    , array([ 0.482994   ,  0.0314095  ,  0.00167655 ,  0.000162953,  0.0435156  ])
263656  , -33903.4    , array([ 0.482994   ,  0.0314095  ,  0.00167487 ,  0.000163117,  0.0435156  ])
263657  , -33953.9    , array([ 0.482994   ,  0.0314095  ,  0.00167487 ,  0.000162953,  0.0435592  ])
263665  , -33757.5    , array([ 0.522308   ,  0.0309485  ,  0.00167408 ,  0.000162784,  0.0429601  ])
263666  , -33757.5    , array([ 0.522308   ,  0.0309485  ,  0.00167408 ,  0.000162784,  0.0429601  ])
263667  , -33754.8    , array([ 0.522831   ,  0.0309485  ,  0.00167408 ,  0.000162784,  0.0429601  ])
263668  , -33708      , array([ 0.522308   ,  0.0309795  ,  0.00167408 ,  0.000162784,  0.0429601  ])
263669  , -33757.5    , array([ 0.522308   ,  0.0309485  ,  0.00167575 ,  0.000162784,  0.0429601  ])
263670  , -33757.5    , array([ 0.522308   ,  0.0309485  ,  0.00167408 ,  0.000162947,  0.0429601  ])
263671  , -33807.9    , array([ 0.522308   ,  0.0309485  ,  0.00167408 ,  0.000162784,  0.0430031  ])
263672  , -33523.4    , array([ 0.658212   ,  0.0403969  ,  0.00165898 ,  0.000159687,  0.0561776  ])
263673  , -33523.4    , array([ 0.658212   ,  0.0403969  ,  0.00165898 ,  0.000159687,  0.0561776  ])
263674  , -33520.9    , array([ 0.658871   ,  0.0403969  ,  0.00165898 ,  0.000159687,  0.0561776  ])
263675  , -33474.4    , array([ 0.658212   ,  0.0404373  ,  0.00165898 ,  0.000159687,  0.0561776  ])
263676  , -33523.4    , array([ 0.658212   ,  0.0403969  ,  0.00166064 ,  0.000159687,  0.0561776  ])
263677  , -33523.4    , array([ 0.658212   ,  0.0403969  ,  0.00165898 ,  0.000159847,  0.0561776  ])
263678  , -33573.9    , array([ 0.658212   ,  0.0403969  ,  0.00165898 ,  0.000159687,  0.0562338  ])
263679  , -33052.6    , array([ 0.661894   ,  0.0405815  ,  0.0013421  ,  9.45251e-05,  0.0559151  ])
263680  , -33052.6    , array([ 0.661894   ,  0.0405815  ,  0.0013421  ,  9.45251e-05,  0.0559151  ])
263681  , -33050.1    , array([ 0.662556   ,  0.0405815  ,  0.0013421  ,  9.45251e-05,  0.0559151  ])
263682  , -33004      , array([ 0.661894   ,  0.0406221  ,  0.0013421  ,  9.45251e-05,  0.0559151  ])
263683  , -33052.6    , array([ 0.661894   ,  0.0405815  ,  0.00134345 ,  9.45251e-05,  0.0559151  ])
263684  , -33052.6    , array([ 0.661894   ,  0.0405815  ,  0.0013421  ,  9.46196e-05,  0.0559151  ])
263685  , -33102.6    , array([ 0.661894   ,  0.0405815  ,  0.0013421  ,  9.45251e-05,  0.0559711  ])
263686  , -31211.1    , array([ 0.676827   ,  0.0413285  ,  0.000574869,  1.16053e-05,  0.0548773  ])
263687  , -31211.1    , array([ 0.676827   ,  0.0413285  ,  0.000574869,  1.16053e-05,  0.0548773  ])
263688  , -31208.7    , array([ 0.677504   ,  0.0413285  ,  0.000574869,  1.16053e-05,  0.0548773  ])
263689  , -31164.2    , array([ 0.676827   ,  0.0413698  ,  0.000574869,  1.16053e-05,  0.0548773  ])
263690  , -31211.1    , array([ 0.676827   ,  0.0413285  ,  0.000575444,  1.16053e-05,  0.0548773  ])
263691  , -31211.1    , array([ 0.676827   ,  0.0413285  ,  0.000574869,  1.16169e-05,  0.0548773  ])
263692  , -31259.2    , array([ 0.676827   ,  0.0413285  ,  0.000574869,  1.16053e-05,  0.0549322  ])
263693  , -24511.4    , array([ 0.740005   ,  0.0444563  ,  1.93509e-05,  2.63692e-09,  0.0509152  ])
263694  , -24511.4    , array([ 0.740005   ,  0.0444563  ,  1.93509e-05,  2.63692e-09,  0.0509152  ])
263695  , -24509.5    , array([ 0.740746   ,  0.0444563  ,  1.93509e-05,  2.63692e-09,  0.0509152  ])
263696  , -24471.2    , array([ 0.740005   ,  0.0445007  ,  1.93509e-05,  2.63692e-09,  0.0509152  ])
263697  , -24511.4    , array([ 0.740005   ,  0.0444563  ,  1.93703e-05,  2.63692e-09,  0.0509152  ])
263698  , -24511.4    , array([ 0.740005   ,  0.0444563  ,  1.93509e-05,  2.63955e-09,  0.0509152  ])
263699  , -24552.6    , array([ 0.740005   ,  0.0444563  ,  1.93509e-05,  2.63692e-09,  0.0509661  ])
263700  , -10240.1    , array([ 0.845233   ,  0.0523621  ,  8.38577e-14,  3.00229e-21,  0.0386262  ])
263701  , -10240.1    , array([ 0.845233   ,  0.0523621  ,  8.38577e-14,  3.00229e-21,  0.0386262  ])
263702  , -10238.9    , array([ 0.846079   ,  0.0523621  ,  8.38577e-14,  3.00229e-21,  0.0386262  ])
263703  , -10216.7    , array([ 0.845233   ,  0.0524145  ,  8.38577e-14,  3.00229e-21,  0.0386262  ])
263704  , -10240.1    , array([ 0.845233   ,  0.0523621  ,  8.39416e-14,  3.00229e-21,  0.0386262  ])
263705  , -10240.1    , array([ 0.845233   ,  0.0523621  ,  8.38577e-14,  3.0053e-21 ,  0.0386262  ])
263706  , -10264      , array([ 0.845233   ,  0.0523621  ,  8.38577e-14,  3.00229e-21,  0.0386649  ])
263707  , -1873.98    , array([ 1.07333    ,  0.0677768  ,  1.95078e-25,  7.08174e-38,  0.0271134  ])
263708  , -1873.98    , array([ 1.07333    ,  0.0677768  ,  1.95078e-25,  7.08174e-38,  0.0271134  ])
263709  , -1873.62    , array([ 1.0744     ,  0.0677768  ,  1.95078e-25,  7.08174e-38,  0.0271134  ])
263710  , -1870.61    , array([ 1.07333    ,  0.0678446  ,  1.95078e-25,  7.08174e-38,  0.0271134  ])
263711  , -1873.98    , array([ 1.07333    ,  0.0677768  ,  1.95274e-25,  7.08174e-38,  0.0271134  ])
263712  , -1873.98    , array([ 1.07333    ,  0.0677768  ,  1.95078e-25,  7.08882e-38,  0.0271134  ])
263713  , -1877.59    , array([ 1.07333    ,  0.0677768  ,  1.95078e-25,  7.08174e-38,  0.0271405  ])
263714  , -1652.85    , array([ 1.15489    ,  0.0703685  ,  1.5653e-27 ,  7.99752e-41,  0.025282   ])
263715  , -1652.85    , array([ 1.15489    ,  0.0703685  ,  1.5653e-27 ,  7.99752e-41,  0.025282   ])
263716  , -1652.66    , array([ 1.15605    ,  0.0703685  ,  1.5653e-27 ,  7.99752e-41,  0.025282   ])
263717  , -1652.7     , array([ 1.15489    ,  0.0704389  ,  1.5653e-27 ,  7.99752e-41,  0.025282   ])
263718  , -1652.85    , array([ 1.15489    ,  0.0703685  ,  1.56686e-27,  7.99752e-41,  0.025282   ])
263719  , -1652.85    , array([ 1.15489    ,  0.0703685  ,  1.5653e-27 ,  8.00552e-41,  0.025282   ])
263720  , -1653.14    , array([ 1.15489    ,  0.0703685  ,  1.5653e-27 ,  7.99752e-41,  0.0253073  ])
263721  , -1645.7     , array([ 1.19969    ,  0.0705551  ,  9.14769e-28,  3.99883e-41,  0.0250924  ])
263722  , -1645.7     , array([ 1.19969    ,  0.0705551  ,  9.14769e-28,  3.99883e-41,  0.0250924  ])
263723  , -1645.56    , array([ 1.20089    ,  0.0705551  ,  9.14769e-28,  3.99883e-41,  0.0250924  ])
263724  , -1645.86    , array([ 1.19969    ,  0.0706257  ,  9.14769e-28,  3.99883e-41,  0.0250924  ])
263725  , -1645.7     , array([ 1.19969    ,  0.0705551  ,  9.15685e-28,  3.99883e-41,  0.0250924  ])
263726  , -1645.7     , array([ 1.19969    ,  0.0705551  ,  9.14769e-28,  4.00283e-41,  0.0250924  ])
263727  , -1645.65    , array([ 1.19969    ,  0.0705551  ,  9.14769e-28,  3.99883e-41,  0.0251175  ])
263728  , -1638.51    , array([ 1.28429    ,  0.0702083  ,  6.1979e-28 ,  2.71531e-41,  0.0248611  ])
263729  , -1638.51    , array([ 1.28429    ,  0.0702083  ,  6.1979e-28 ,  2.71531e-41,  0.0248611  ])
263730  , -1638.43    , array([ 1.28558    ,  0.0702083  ,  6.1979e-28 ,  2.71531e-41,  0.0248611  ])
263731  , -1638.82    , array([ 1.28429    ,  0.0702785  ,  6.1979e-28 ,  2.71531e-41,  0.0248611  ])
263732  , -1638.51    , array([ 1.28429    ,  0.0702083  ,  6.20411e-28,  2.71531e-41,  0.0248611  ])
263733  , -1638.51    , array([ 1.28429    ,  0.0702083  ,  6.1979e-28 ,  2.71803e-41,  0.0248611  ])
